Hours Studied,Previous Scores,Sleep Hours,Sample Question Papers Practiced,Performance Index,Extracurricular Activities
2,77,7,9,52,No
5,41,5,0,25,No
4,82,8,6,68,Yes
9,78,4,3,76,No
6,93,9,7,85,Yes
2,60,7,7,40,No
1,79,7,7,56,Yes
5,76,6,5,62,Yes
9,98,9,8,99,Yes
6,57,8,3,46,Yes
7,93,7,4,86,Yes
5,87,4,3,73,Yes
6,85,8,4,74,No
5,51,7,1,37,Yes
9,56,4,4,50,No
6,76,6,9,65,Yes
8,85,6,7,79,No
2,77,4,8,53,Yes
9,54,8,6,55,Yes
5,46,4,6,31,No
7,53,9,5,47,Yes
1,89,4,1,63,Yes
5,40,6,9,27,Yes
2,77,6,9,53,Yes
6,42,6,8,33,No
1,76,9,4,56,Yes
3,83,7,5,65,No
5,70,9,0,55,Yes
4,82,7,4,67,Yes
3,52,9,5,32,Yes
5,87,5,9,73,Yes
8,57,7,1,45,No
4,56,8,6,43,Yes
1,56,8,3,32,Yes
7,50,6,4,42,Yes
8,59,9,2,55,No
3,49,4,4,28,No
6,68,6,3,58,No
2,87,4,9,67,No
7,73,9,5,66,Yes
8,56,6,1,46,Yes
6,93,6,2,79,No
6,91,8,9,83,Yes
5,81,4,0,63,Yes
8,52,5,6,45,No
1,83,5,8,63,Yes
4,86,6,1,70,No
4,78,9,6,58,No
3,66,6,2,50,No
3,93,8,4,77,No
4,92,4,5,75,No
1,65,6,7,40,No
2,67,9,3,43,Yes
9,52,5,1,47,Yes
2,51,4,2,22,Yes
5,83,6,7,71,No
9,67,4,6,63,No
9,41,8,5,37,No
8,76,5,4,72,Yes
1,96,9,4,73,Yes
1,96,4,0,72,No
9,73,5,5,68,No
8,62,6,8,59,No
9,97,9,7,97,No
7,91,9,9,83,No
3,84,7,0,65,Yes
3,68,4,5,47,No
2,74,5,2,51,No
5,50,4,5,32,No
3,87,6,8,63,No
6,72,6,5,60,Yes
2,90,9,7,70,No
3,50,9,5,32,No
5,48,5,5,32,No
1,53,8,6,29,Yes
1,48,4,9,21,No
9,78,4,3,74,Yes
7,87,6,7,81,No
1,42,4,3,11,No
8,68,5,6,65,No
3,58,7,0,37,No
8,75,9,8,75,No
5,71,6,9,61,No
1,46,9,8,17,No
7,94,9,6,87,No
5,67,9,7,52,No
6,83,7,1,71,Yes
6,57,4,9,46,Yes
8,99,8,9,99,Yes
9,44,9,6,40,Yes
2,62,5,0,42,No
9,94,9,2,91,No
9,61,9,5,57,Yes
7,65,4,4,58,Yes
1,81,5,4,55,Yes
7,51,4,8,46,Yes
5,79,9,5,64,No
6,58,4,2,45,Yes
7,86,4,1,78,No
5,40,6,8,24,No
7,42,7,9,36,No
9,66,8,3,65,Yes
3,57,7,4,35,Yes
8,89,7,8,87,No
2,69,5,4,45,Yes
7,41,6,6,35,Yes
2,44,6,1,18,No
4,68,4,1,46,No
7,72,7,3,63,Yes
3,81,8,7,62,No
2,59,5,1,35,Yes
7,69,6,9,63,Yes
1,81,4,6,58,No
8,44,8,0,37,No
3,89,7,8,74,Yes
2,60,8,9,40,No
3,97,6,5,78,Yes
5,54,5,0,38,No
8,59,7,9,55,Yes
7,47,5,5,39,No
7,88,9,4,84,Yes
7,70,8,4,60,Yes
8,51,8,4,47,No
1,60,4,3,34,Yes
4,69,7,6,54,Yes
6,66,8,8,56,Yes
9,83,6,3,82,Yes
2,65,9,1,45,Yes
1,72,6,1,45,No
2,65,5,1,43,Yes
7,65,9,6,57,Yes
3,75,9,3,56,Yes
2,79,6,3,56,No
7,40,8,0,30,No
2,98,6,3,75,Yes
3,54,7,5,33,Yes
7,89,5,1,80,No
4,40,9,3,27,No
1,50,7,6,26,Yes
5,94,8,8,81,No
9,41,8,1,41,Yes
8,40,6,7,34,Yes
9,70,4,5,68,Yes
9,83,9,7,83,No
7,55,9,1,44,Yes
4,93,4,0,75,Yes
5,61,8,6,52,No
1,81,8,8,56,Yes
1,57,9,8,37,Yes
3,86,5,1,67,Yes
8,56,9,3,50,No
2,69,8,0,46,No
4,49,8,6,31,Yes
2,74,5,1,51,No
5,97,7,3,82,Yes
9,60,7,1,58,Yes
1,55,5,0,31,No
5,45,5,6,29,No
9,42,7,5,40,Yes
1,80,7,1,51,No
9,82,7,3,79,No
8,60,7,2,52,No
4,52,9,2,36,Yes
5,57,9,2,43,Yes
5,97,6,3,81,No
6,93,5,0,81,Yes
7,99,4,0,84,Yes
8,63,6,6,55,No
8,66,4,4,64,Yes
2,93,4,2,68,No
9,43,8,8,41,Yes
7,61,5,4,53,Yes
4,63,9,9,50,No
4,79,6,2,65,Yes
8,84,5,8,78,No
4,49,7,0,31,Yes
6,41,5,8,30,Yes
5,79,4,4,64,Yes
3,45,9,5,26,No
2,87,7,1,66,Yes
9,57,5,7,55,Yes
9,56,5,2,52,No
1,77,9,0,57,No
3,84,4,6,68,Yes
8,62,7,2,57,No
6,85,4,3,75,No
5,69,9,4,54,No
5,97,5,0,82,No
6,60,6,8,51,Yes
7,49,6,6,43,No
1,95,8,1,68,Yes
9,82,6,0,77,Yes
3,52,9,1,33,Yes
4,51,9,2,37,No
1,48,9,2,23,No
3,43,7,7,26,Yes
2,78,8,4,56,Yes
2,63,7,8,42,No
1,93,6,2,65,No
8,73,6,5,66,Yes
3,78,5,3,57,No
3,80,7,7,59,No
6,44,4,0,28,Yes
8,54,5,3,46,No
9,89,7,6,84,No
9,43,9,8,42,Yes
4,90,8,0,73,No
5,91,7,7,77,Yes
2,97,8,1,74,No
9,78,8,3,75,Yes
8,97,6,3,94,No
3,47,4,7,27,Yes
9,88,7,1,89,No
3,84,4,6,62,No
9,63,8,2,59,No
2,92,6,8,73,Yes
9,67,4,4,57,No
8,94,5,7,90,Yes
9,82,8,4,80,No
5,66,5,0,50,No
2,40,9,8,18,No
8,73,4,9,68,No
6,56,4,6,39,No
8,76,4,3,67,No
5,77,9,6,69,Yes
2,65,7,4,43,Yes
6,96,8,9,84,No
5,63,8,8,50,No
5,78,8,1,65,No
1,99,7,3,74,No
2,60,4,5,35,No
8,69,4,4,61,Yes
3,86,9,0,64,No
3,90,5,8,66,No
8,87,7,8,81,Yes
8,96,6,2,93,Yes
2,52,7,3,28,Yes
8,76,9,3,71,No
1,42,5,9,13,No
6,71,5,7,59,No
8,74,5,5,67,No
3,58,4,1,35,No
8,53,6,3,46,Yes
1,87,5,0,59,No
9,61,8,2,57,No
9,56,4,3,51,No
5,98,6,7,80,Yes
4,43,8,2,22,No
6,84,6,4,71,No
7,79,9,0,73,No
5,58,6,3,40,No
9,76,8,1,75,Yes
3,41,7,3,24,Yes
7,54,6,4,45,Yes
5,41,7,2,25,No
7,50,6,5,42,Yes
2,84,9,1,63,Yes
4,62,8,4,44,No
2,49,6,3,26,No
7,42,5,4,31,Yes
2,44,9,8,26,Yes
1,42,5,5,15,Yes
9,77,9,6,77,Yes
1,52,9,7,31,No
8,81,6,8,75,No
2,58,8,4,34,Yes
8,79,8,7,74,Yes
3,89,4,1,68,Yes
6,74,8,9,64,No
3,63,7,8,43,No
7,63,6,1,54,No
9,56,5,4,53,Yes
2,79,8,5,56,No
5,49,5,3,34,Yes
6,41,4,7,27,Yes
4,83,6,9,66,No
4,62,8,2,41,Yes
4,45,5,4,25,No
2,41,9,1,20,No
4,60,8,2,45,Yes
1,94,4,7,70,Yes
6,95,9,4,86,No
1,74,5,2,46,No
6,88,5,4,73,No
1,68,6,8,42,No
6,46,6,2,27,No
8,68,5,9,64,No
2,92,9,6,71,No
2,76,6,7,56,Yes
4,62,5,4,43,No
3,72,9,2,50,Yes
4,47,7,5,31,Yes
7,51,8,2,42,No
1,85,7,8,60,No
6,87,7,1,76,No
3,49,8,2,28,No
7,54,5,6,45,No
2,92,5,9,71,Yes
2,63,6,7,44,Yes
4,65,4,4,48,No
1,86,5,4,57,No
3,81,8,4,61,No
9,92,4,3,86,No
7,99,8,8,95,Yes
7,78,8,5,70,Yes
4,97,8,7,81,Yes
2,42,4,7,18,No
4,41,7,4,24,No
6,45,9,8,32,No
3,60,8,1,40,Yes
1,48,6,7,25,Yes
8,49,5,2,41,Yes
5,75,9,6,66,No
5,98,5,8,83,Yes
4,42,5,4,22,No
6,80,4,7,70,Yes
3,63,6,3,42,No
9,61,6,0,56,No
5,88,9,0,72,No
3,53,6,5,31,No
1,81,6,7,60,Yes
6,84,6,9,74,Yes
2,83,9,1,62,Yes
3,66,7,3,44,No
1,72,6,2,46,Yes
9,99,6,8,96,No
8,61,4,2,51,Yes
2,68,4,7,43,Yes
8,58,6,6,51,No
9,58,7,0,58,No
1,45,6,7,23,No
5,84,6,8,67,Yes
8,58,6,7,50,No
2,52,8,9,31,Yes
4,98,7,9,83,Yes
7,65,5,0,55,Yes
3,61,6,6,44,No
5,60,5,8,45,Yes
8,75,7,4,73,No
3,95,6,1,76,No
4,41,5,7,23,Yes
9,86,9,8,84,Yes
7,83,5,6,73,Yes
1,69,7,4,48,Yes
4,66,6,7,50,No
4,46,8,5,30,No
9,59,7,3,51,No
6,89,8,0,76,No
9,70,6,5,66,No
6,62,5,7,50,No
6,52,9,2,40,No
5,56,9,6,42,No
5,43,7,6,29,No
2,96,7,8,77,Yes
8,53,7,0,45,Yes
8,59,4,4,49,No
1,99,9,7,74,No
8,52,9,2,45,Yes
5,42,6,4,27,Yes
2,65,4,0,44,Yes
2,65,7,8,42,No
6,57,7,3,43,Yes
9,71,8,4,68,Yes
1,53,4,2,29,Yes
6,86,5,1,73,Yes
9,42,9,6,39,Yes
8,40,6,4,30,No
6,65,5,9,53,Yes
3,63,5,2,38,No
8,88,6,1,82,Yes
9,74,7,9,72,Yes
1,53,9,5,24,Yes
9,42,8,9,44,Yes
6,52,7,5,45,Yes
6,86,7,2,75,No
4,89,4,8,75,No
1,53,5,0,26,No
8,60,5,2,49,No
2,65,9,0,42,No
1,42,5,6,14,No
2,90,8,1,64,No
1,79,8,3,54,Yes
1,43,8,3,16,No
9,75,6,7,73,Yes
1,90,9,3,67,Yes
4,82,8,2,69,No
6,40,4,9,28,Yes
7,79,4,2,67,Yes
2,86,7,4,62,No
6,72,7,5,60,Yes
7,46,9,6,43,No
2,92,7,4,70,Yes
2,91,7,6,70,No
7,91,4,3,84,Yes
1,95,7,4,72,No
8,50,4,5,44,Yes
3,66,8,8,46,No
6,53,8,5,41,Yes
9,61,9,9,58,Yes
6,55,6,0,44,No
9,85,7,6,89,Yes
7,51,8,2,45,No
9,88,8,5,87,Yes
2,85,9,1,61,Yes
8,49,5,6,41,No
8,63,5,0,57,Yes
2,85,9,1,62,No
4,57,4,8,39,Yes
7,61,6,8,54,Yes
4,48,9,6,33,Yes
4,56,5,1,42,Yes
6,77,6,4,70,No
6,79,8,3,67,No
3,97,9,1,80,Yes
9,52,4,1,44,Yes
2,89,6,9,69,No
6,76,5,7,66,Yes
7,45,8,4,35,No
9,60,9,7,61,Yes
3,90,7,1,68,Yes
3,75,8,1,55,No
7,46,5,2,36,Yes
4,75,9,9,56,No
8,64,5,7,58,No
7,50,7,7,40,No
5,83,8,2,68,No
7,53,6,0,43,No
3,84,6,6,61,No
2,68,8,3,45,Yes
6,49,6,2,36,No
2,89,9,4,67,No
3,87,8,5,67,Yes
6,44,8,0,29,No
5,47,5,8,31,Yes
8,85,4,5,74,No
9,44,5,2,37,No
3,97,6,0,79,No
3,99,4,8,76,Yes
3,63,8,1,45,Yes
6,79,6,9,65,No
1,96,7,5,72,No
7,65,6,5,62,Yes
1,45,4,2,19,Yes
5,55,4,5,39,Yes
8,99,8,1,93,No
4,75,9,7,62,Yes
5,51,7,0,37,Yes
4,50,8,5,34,Yes
4,42,7,0,23,Yes
8,83,7,8,79,Yes
2,76,8,8,51,Yes
1,45,6,5,18,Yes
3,58,5,5,41,No
9,57,7,8,57,Yes
4,55,4,4,36,No
5,62,8,8,47,No
2,82,9,4,65,Yes
4,76,6,3,57,No
2,48,7,1,22,No
2,42,9,1,20,Yes
4,47,6,0,27,No
6,77,8,9,64,Yes
7,43,9,2,32,Yes
3,51,4,0,29,Yes
3,83,7,5,62,Yes
6,70,7,6,56,Yes
3,64,9,8,43,Yes
2,92,6,6,70,Yes
8,55,8,3,49,No
5,81,5,3,68,Yes
1,93,7,7,66,No
3,53,4,3,31,Yes
8,52,7,0,44,Yes
4,80,7,8,65,Yes
7,46,5,2,36,No
2,51,5,0,27,No
7,76,8,8,71,No
5,89,7,9,76,No
5,43,7,9,31,No
6,41,6,4,26,No
9,74,6,8,69,Yes
6,97,9,2,90,Yes
8,83,9,5,79,No
7,42,4,6,33,No
9,43,4,4,40,No
4,77,6,7,58,No
2,51,9,9,28,No
7,58,4,5,50,Yes
6,49,7,5,37,Yes
1,40,9,6,15,Yes
9,56,5,7,50,Yes
9,55,9,1,55,Yes
2,48,7,6,25,Yes
3,96,6,8,79,Yes
5,92,8,0,79,Yes
5,48,8,0,36,No
1,98,6,6,69,No
8,94,7,4,83,Yes
8,48,4,0,44,Yes
4,51,9,0,36,Yes
7,94,9,1,84,No
3,80,4,9,58,No
6,54,8,8,44,Yes
9,41,6,2,36,No
1,50,6,8,23,Yes
5,50,5,5,33,Yes
4,47,8,9,31,Yes
8,94,6,5,90,Yes
1,71,5,6,45,Yes
9,45,4,9,40,No
6,92,8,7,81,Yes
4,59,8,2,47,Yes
9,78,6,7,75,Yes
5,74,6,5,61,Yes
5,47,7,5,37,No
5,89,4,2,75,Yes
1,88,4,5,63,Yes
1,82,9,7,61,No
8,73,5,6,70,Yes
8,96,5,9,91,Yes
6,92,7,9,80,Yes
4,98,9,6,83,Yes
2,95,4,2,72,No
2,58,5,9,35,Yes
9,46,4,2,41,Yes
5,70,4,4,57,No
4,57,9,4,43,Yes
1,79,5,8,55,Yes
7,53,6,8,42,No
3,78,6,9,59,Yes
6,99,9,4,90,No
5,92,5,4,79,Yes
5,99,7,5,89,No
5,98,8,7,87,Yes
1,75,9,5,50,Yes
1,56,4,5,33,No
3,76,9,8,58,Yes
4,83,8,0,68,No
5,48,9,3,33,No
2,97,5,9,73,No
8,59,4,9,50,No
2,84,8,1,59,Yes
9,96,6,8,93,No
2,67,7,2,47,Yes
9,89,9,9,89,Yes
7,59,9,1,47,No
8,80,8,7,77,No
2,75,7,3,53,Yes
7,92,9,1,87,No
6,66,6,3,53,Yes
4,47,8,6,28,No
7,71,5,6,66,Yes
4,40,4,0,23,Yes
2,56,6,0,28,No
7,96,7,2,89,Yes
8,48,7,1,38,Yes
2,59,6,2,37,No
5,84,5,3,66,No
1,71,9,6,44,No
7,41,5,1,33,No
8,71,9,6,67,No
6,84,9,4,76,Yes
5,48,7,7,33,Yes
6,69,9,7,59,No
2,59,6,4,39,Yes
1,77,9,9,55,Yes
7,99,6,7,96,Yes
7,40,4,8,30,Yes
2,99,7,6,80,Yes
2,96,5,5,75,No
1,44,8,6,19,No
8,74,5,6,71,Yes
8,75,5,2,67,Yes
1,40,8,5,16,No
8,53,7,5,45,No
9,48,9,8,44,No
4,69,4,0,50,No
1,63,5,6,37,Yes
1,43,9,0,15,No
3,89,5,9,71,No
5,53,7,3,42,Yes
5,64,7,6,49,No
9,43,6,5,41,No
2,64,7,5,40,No
2,49,7,4,25,No
6,74,5,6,62,No
9,94,4,8,93,Yes
1,46,5,5,19,Yes
9,81,9,9,77,Yes
9,52,7,6,52,Yes
9,43,6,8,41,Yes
5,89,4,6,69,No
9,82,6,5,82,No
4,96,8,2,82,No
2,75,6,0,49,No
6,95,6,9,82,No
4,53,9,8,40,No
6,57,7,6,48,No
3,47,9,2,28,No
6,71,7,9,60,No
2,66,9,8,43,No
2,81,7,2,59,No
9,76,7,2,71,No
7,62,7,6,52,No
3,46,6,1,27,Yes
1,51,8,9,28,No
8,64,7,6,62,Yes
6,42,8,6,27,No
7,65,8,0,55,No
9,43,5,9,39,No
5,81,5,1,66,Yes
1,75,4,4,46,Yes
7,54,9,3,47,No
5,71,5,2,59,No
3,68,7,9,46,No
9,49,8,7,47,No
1,60,9,6,39,Yes
1,93,4,8,67,Yes
1,55,5,2,26,No
3,86,6,9,68,Yes
6,58,9,0,49,Yes
3,68,4,8,45,No
8,91,7,8,88,No
2,90,9,0,67,No
9,57,8,7,54,Yes
3,97,7,9,75,No
5,83,7,0,67,Yes
8,96,9,5,91,No
2,55,6,8,30,No
6,40,6,2,29,Yes
5,87,9,5,75,Yes
9,41,9,2,41,Yes
5,95,9,4,84,Yes
2,54,8,6,31,Yes
5,78,5,9,64,Yes
4,67,7,3,48,No
7,40,9,3,29,Yes
6,44,5,6,33,Yes
2,81,8,4,59,No
5,61,7,0,45,Yes
7,92,5,9,86,Yes
7,75,7,1,65,No
5,85,6,5,73,No
9,52,9,8,50,No
4,40,6,6,20,Yes
3,55,4,3,36,No
4,94,8,1,78,Yes
5,80,9,3,65,No
6,61,5,4,48,Yes
3,71,7,1,49,No
2,55,4,0,32,No
4,90,8,3,69,No
5,54,8,5,41,Yes
4,97,8,0,77,Yes
3,85,5,0,60,No
8,91,9,8,88,No
4,81,6,4,61,No
2,92,4,1,69,No
2,51,5,1,29,Yes
1,99,7,3,73,No
4,40,5,1,22,No
9,92,7,3,93,Yes
7,56,7,5,46,Yes
7,80,8,6,74,No
7,94,5,5,83,No
8,90,6,3,84,Yes
1,96,7,9,71,Yes
8,89,8,2,82,No
4,67,6,3,49,Yes
4,46,5,4,27,Yes
4,48,6,3,29,No
6,61,5,2,50,No
7,65,7,0,53,Yes
6,92,4,2,80,No
1,51,4,4,21,No
8,46,9,5,39,No
7,85,9,3,74,No
6,86,7,0,76,No
6,54,6,9,43,Yes
5,77,5,6,61,Yes
6,60,4,8,48,No
9,53,5,5,48,No
9,41,7,5,40,No
8,47,6,8,40,Yes
9,84,5,3,80,Yes
8,94,6,4,90,Yes
8,45,4,4,36,Yes
1,76,5,4,48,No
5,76,8,7,60,No
4,96,4,0,76,Yes
2,72,6,9,47,Yes
8,80,7,9,73,No
3,45,8,2,22,No
4,91,9,7,74,No
7,65,5,8,58,No
9,78,9,1,76,No
2,80,4,3,59,Yes
3,76,5,7,55,No
4,53,5,4,33,Yes
1,76,8,0,50,Yes
7,47,8,5,37,No
2,78,8,8,58,Yes
5,52,8,8,36,Yes
1,52,7,0,25,No
3,79,6,3,62,Yes
2,82,8,0,57,No
1,67,4,6,39,No
7,97,5,2,84,Yes
5,57,9,1,45,No
1,96,8,7,72,No
6,58,4,8,45,Yes
5,77,7,6,63,No
3,71,4,5,50,Yes
7,61,9,9,53,Yes
9,41,9,5,36,No
9,99,4,8,97,Yes
9,52,7,4,49,No
2,62,9,4,40,Yes
3,64,7,1,43,No
7,67,5,5,60,No
5,97,8,5,85,Yes
2,50,9,5,26,Yes
3,72,4,3,53,No
6,63,6,6,53,No
7,41,6,8,34,Yes
9,69,5,0,63,No
1,56,6,2,31,No
7,79,5,9,71,Yes
8,73,8,8,67,Yes
3,77,5,4,57,No
4,61,7,5,46,Yes
6,44,7,7,34,Yes
7,87,7,8,76,No
4,79,9,7,65,Yes
8,90,7,2,84,Yes
5,55,7,9,38,No
1,52,7,0,27,Yes
4,65,7,4,49,No
3,70,9,6,52,Yes
9,91,7,1,86,Yes
8,78,7,0,74,No
1,87,8,3,64,Yes
6,62,9,2,53,Yes
9,87,7,3,87,Yes
7,51,5,0,43,Yes
4,53,8,1,37,Yes
1,95,9,0,68,Yes
2,57,6,2,32,No
5,66,4,3,49,Yes
5,67,9,0,56,Yes
8,57,8,5,52,No
6,55,7,1,41,No
8,91,8,9,87,No
2,55,4,4,34,Yes
3,52,4,7,32,No
6,97,9,3,89,No
3,68,7,4,46,Yes
6,48,7,8,36,No
6,65,5,1,51,Yes
2,67,4,1,46,Yes
7,80,7,5,72,Yes
2,52,4,5,27,Yes
6,75,5,2,59,Yes
1,48,6,8,25,No
3,86,4,0,67,Yes
2,53,5,2,24,No
7,90,5,7,82,Yes
4,51,5,7,35,No
8,92,8,3,88,Yes
6,97,9,7,87,Yes
4,96,7,9,79,Yes
5,71,4,7,58,No
9,77,9,0,76,No
7,42,8,2,34,No
9,97,4,0,95,Yes
7,96,9,1,93,Yes
1,93,8,3,67,No
8,91,7,2,85,Yes
4,55,5,5,36,No
3,59,9,4,38,Yes
7,71,9,4,66,No
3,95,4,9,78,No
8,62,5,6,58,Yes
6,56,7,6,48,No
5,55,4,8,41,Yes
4,77,6,7,61,Yes
8,47,6,2,42,Yes
8,58,6,1,50,No
1,69,7,0,40,No
9,96,6,9,94,No
5,97,9,5,84,Yes
4,73,4,3,59,Yes
6,53,9,2,39,No
6,61,6,1,49,Yes
2,83,4,1,59,Yes
8,56,9,3,49,No
7,99,7,0,89,No
1,98,5,5,73,Yes
5,54,9,9,40,Yes
6,89,8,4,79,No
4,87,6,9,74,No
2,71,8,8,49,Yes
4,52,5,1,35,Yes
1,60,7,8,39,Yes
7,88,9,8,83,No
2,79,7,9,56,Yes
2,72,5,8,46,Yes
9,96,8,9,95,Yes
5,97,9,9,86,Yes
2,66,6,3,39,Yes
9,74,4,4,70,Yes
9,55,7,7,51,No
1,67,5,7,41,No
3,73,9,0,53,No
4,86,8,9,71,Yes
7,40,6,0,31,No
4,80,8,9,63,Yes
2,87,6,5,61,Yes
7,70,9,6,65,Yes
6,75,4,1,63,Yes
3,83,4,1,63,Yes
6,72,5,4,58,No
6,72,5,8,62,No
5,78,6,4,61,No
4,57,6,7,40,Yes
1,62,6,7,39,No
6,99,6,4,89,Yes
2,62,9,7,40,No
3,54,9,7,35,No
8,65,4,4,55,No
6,69,5,4,60,No
3,64,5,3,45,No
7,84,7,0,76,No
4,55,5,8,38,Yes
9,78,5,1,73,Yes
5,87,8,0,72,Yes
3,84,8,5,68,Yes
2,53,7,4,27,Yes
2,56,6,0,33,No
3,51,7,6,28,Yes
2,68,7,6,46,Yes
4,71,4,2,52,Yes
2,95,9,7,72,Yes
9,63,5,5,58,Yes
2,91,4,3,69,Yes
9,52,9,9,54,Yes
6,95,5,9,85,Yes
1,59,7,9,33,Yes
4,54,5,2,33,No
1,95,6,0,67,Yes
6,92,6,1,80,Yes
4,43,7,1,25,No
3,93,8,4,76,No
3,73,6,3,53,Yes
9,67,7,1,63,Yes
6,89,4,8,75,Yes
9,41,8,6,38,No
5,96,6,7,79,Yes
2,86,7,7,63,No
8,69,7,1,60,No
5,65,4,4,49,No
2,90,4,2,66,No
4,86,8,9,71,No
9,65,9,8,66,Yes
4,59,6,8,41,Yes
4,81,7,5,67,No
2,67,8,3,46,No
6,95,8,7,86,No
2,59,4,4,37,No
7,50,7,2,42,Yes
3,97,5,7,77,No
3,49,9,5,32,No
5,62,9,4,47,Yes
3,76,4,0,54,Yes
2,80,7,2,60,Yes
9,91,8,6,89,Yes
2,58,9,2,34,No
2,84,8,0,59,No
8,57,6,7,52,No
9,88,5,6,84,No
7,66,4,4,57,No
3,45,9,9,30,No
9,49,6,4,47,No
3,41,6,5,15,No
5,63,5,6,49,No
9,77,4,2,74,Yes
3,67,4,3,45,No
7,67,8,0,61,Yes
1,92,4,6,67,Yes
4,84,6,9,64,Yes
4,89,8,1,73,Yes
7,78,4,6,68,No
8,41,5,5,33,Yes
1,85,6,3,60,Yes
5,44,7,1,30,No
7,89,5,6,82,Yes
4,50,5,6,33,No
4,49,4,4,28,No
4,82,8,8,64,No
6,98,8,2,88,No
7,41,6,8,35,Yes
2,54,4,4,30,No
5,78,8,1,60,Yes
4,80,9,8,66,Yes
3,76,7,0,52,No
7,46,9,0,39,Yes
6,59,4,6,45,No
7,73,4,2,64,Yes
5,74,8,7,66,Yes
6,73,5,6,61,Yes
5,92,4,6,76,Yes
7,61,5,0,49,No
2,70,6,0,43,No
5,62,6,1,45,Yes
6,58,8,1,49,Yes
6,43,6,4,27,Yes
5,63,9,8,50,Yes
7,59,9,6,52,No
8,78,9,1,72,Yes
7,67,8,4,62,Yes
5,93,8,4,80,Yes
1,78,9,7,53,No
5,56,5,8,42,Yes
2,58,9,7,37,No
5,93,5,1,77,No
5,87,6,3,73,Yes
2,74,5,1,46,Yes
5,71,4,5,54,Yes
4,86,7,3,70,No
1,85,4,6,60,No
3,86,4,1,67,Yes
1,85,8,8,58,No
5,78,7,4,63,Yes
4,96,8,0,83,Yes
7,74,5,2,64,Yes
5,69,9,3,57,Yes
4,56,5,2,45,Yes
2,81,7,5,61,Yes
4,86,6,5,68,No
2,68,5,9,45,No
8,45,4,6,39,No
3,99,7,8,77,Yes
9,56,7,9,55,Yes
4,56,5,8,38,Yes
6,53,5,6,40,No
5,63,8,0,49,Yes
1,96,8,2,74,No
9,89,4,4,86,Yes
1,96,7,9,72,No
8,76,6,5,72,Yes
9,79,6,5,77,Yes
9,78,7,4,76,No
1,94,4,5,67,No
2,71,8,8,52,No
1,75,8,0,52,Yes
2,89,8,0,67,No
8,76,6,8,66,No
5,87,6,7,74,Yes
7,53,4,8,40,Yes
2,66,6,6,44,No
8,98,5,9,97,Yes
6,58,6,5,48,No
8,70,8,8,65,No
1,85,4,1,57,No
1,48,7,3,19,Yes
7,77,7,1,68,No
8,56,4,5,48,No
3,58,5,0,34,Yes
5,83,7,6,67,No
1,43,8,6,15,No
7,87,7,6,83,No
5,96,7,3,83,Yes
8,50,8,7,46,No
8,61,6,4,57,Yes
9,43,5,1,42,Yes
7,56,8,4,51,No
1,47,8,9,24,No
3,85,9,8,64,Yes
8,98,4,9,94,No
3,73,5,0,50,No
8,50,6,1,41,Yes
1,70,9,9,45,No
5,50,8,7,37,No
4,95,9,4,75,Yes
5,93,6,8,80,No
8,95,9,5,94,Yes
4,77,9,7,62,Yes
4,92,9,0,73,No
3,60,8,8,43,Yes
7,85,8,8,78,No
3,69,4,2,51,No
3,49,7,0,24,Yes
5,65,5,7,46,Yes
5,66,4,7,51,Yes
6,47,6,8,35,Yes
8,78,9,5,75,Yes
6,47,8,8,38,Yes
1,99,9,9,79,No
8,47,8,8,42,No
8,94,5,3,89,Yes
9,73,4,4,66,No
9,98,4,5,100,Yes
2,55,6,5,34,Yes
2,80,4,9,59,No
3,52,4,1,28,No
1,62,7,3,39,Yes
4,51,5,8,36,Yes
4,66,9,6,52,Yes
9,61,4,8,57,No
9,71,6,5,66,Yes
9,96,9,6,95,Yes
7,88,8,8,79,No
2,66,4,3,42,No
5,41,4,8,23,No
4,84,9,2,67,Yes
8,72,8,7,64,Yes
2,65,7,2,43,No
6,67,5,2,56,Yes
5,58,7,2,43,Yes
2,82,6,8,55,No
1,44,9,9,16,No
8,72,4,2,65,Yes
2,59,7,5,38,No
7,69,5,3,57,No
9,84,6,1,83,Yes
9,47,7,2,47,Yes
8,77,4,4,71,Yes
9,56,5,9,56,Yes
2,83,4,3,57,Yes
6,40,4,4,23,Yes
4,42,6,0,27,No
4,85,5,3,65,No
5,65,8,9,54,No
3,70,4,2,50,Yes
1,47,5,1,23,Yes
8,82,4,6,77,Yes
5,98,7,9,83,Yes
3,85,7,8,66,Yes
7,47,5,0,38,No
7,74,6,6,65,Yes
1,78,8,0,54,No
9,67,7,4,65,Yes
2,90,6,0,68,No
5,43,8,2,31,No
5,96,7,7,83,No
8,55,8,3,49,No
8,52,9,0,45,No
7,59,4,0,46,No
7,90,5,7,85,No
6,44,7,7,33,Yes
6,94,7,3,83,Yes
9,76,4,3,71,No
6,59,7,9,49,Yes
2,63,7,1,39,Yes
2,75,9,1,51,No
5,73,7,5,57,Yes
4,97,7,7,81,No
2,84,7,6,65,Yes
3,87,6,6,66,No
7,93,7,2,86,Yes
8,73,4,1,66,No
6,58,9,9,50,Yes
5,56,7,6,46,Yes
1,44,8,3,20,Yes
8,64,9,0,58,No
3,57,9,0,38,No
6,99,8,3,91,Yes
3,94,4,4,77,Yes
7,92,6,4,83,No
7,89,4,0,79,Yes
9,47,6,2,50,Yes
5,66,5,5,51,No
